instrument,exchange,tm,value,type,timeinterval
BTCUSDT,binance,2022/2/17 23:04,74861.362,,minutes
BTCUSD_PERP,binance,2022/2/17 23:04,8144688,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:03,8144136,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:03,74839.583,,minutes
BTCUSDT,binance,2022/2/17 23:02,74857.879,,minutes
BTCUSD_PERP,binance,2022/2/17 23:02,8142856,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:01,8133234,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:01,74867.817,,minutes
BTCUSDT,binance,2022/2/17 23:00,74872.625,,minutes
BTCUSD_PERP,binance,2022/2/17 23:00,8140815,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:59,8141154,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:59,74868.776,,minutes
BTCUSDT,binance,2022/2/17 22:58,74861.65,,minutes
BTCUSD_PERP,binance,2022/2/17 22:58,8136410,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:57,8134227,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:57,74829.94,,minutes
BTCUSDT,binance,2022/2/17 22:56,74806.596,,minutes
BTCUSD_PERP,binance,2022/2/17 22:56,8132063,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:55,8128274,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:55,74786.201,,minutes
BTCUSDT,binance,2022/2/17 22:54,74820.065,,minutes
BTCUSD_PERP,binance,2022/2/17 22:54,8124397,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:53,8123228,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:53,74832.618,,minutes
BTCUSDT,binance,2022/2/17 22:52,74862.382,,minutes
BTCUSD_PERP,binance,2022/2/17 22:52,8123639,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:51,8123459,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:51,74860.98,,minutes
BTCUSDT,binance,2022/2/17 22:50,74851.231,,minutes
BTCUSD_PERP,binance,2022/2/17 22:50,8121322,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:49,8122141,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:49,74852.48,,minutes
BTCUSDT,binance,2022/2/17 22:48,74841.676,,minutes
BTCUSD_PERP,binance,2022/2/17 22:48,8126257,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:47,8130357,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:47,74794.072,,minutes
BTCUSDT,binance,2022/2/17 22:46,74839.305,,minutes
BTCUSD_PERP,binance,2022/2/17 22:46,8124510,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:45,8126959,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:45,74809.438,,minutes
BTCUSDT,binance,2022/2/17 22:44,74802.13,,minutes
BTCUSD_PERP,binance,2022/2/17 22:44,8125194,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:43,8125308,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:43,74806.927,,minutes
BTCUSDT,binance,2022/2/17 22:42,74816.231,,minutes
BTCUSD_PERP,binance,2022/2/17 22:42,8122297,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:41,8122467,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:41,74820.538,,minutes
BTCUSDT,binance,2022/2/17 22:40,74767.296,,minutes
BTCUSD_PERP,binance,2022/2/17 22:40,8124585,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:39,8123839,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:39,74743.619,,minutes
BTCUSDT,binance,2022/2/17 22:38,74740.864,,minutes
BTCUSD_PERP,binance,2022/2/17 22:38,8128519,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:37,8128013,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:37,74730.475,,minutes
BTCUSDT,binance,2022/2/17 22:36,74739.089,,minutes
BTCUSD_PERP,binance,2022/2/17 22:36,8125185,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:35,8128736,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:35,74740.401,,minutes
BTCUSDT,binance,2022/2/17 22:34,74736.951,,minutes
BTCUSD_PERP,binance,2022/2/17 22:34,8128106,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:33,8126807,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:33,74720.585,,minutes
BTCUSDT,binance,2022/2/17 22:32,74713.89,,minutes
BTCUSD_PERP,binance,2022/2/17 22:32,8126691,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:31,8127313,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:31,74700.519,,minutes
BTCUSDT,binance,2022/2/17 22:30,74671.752,,minutes
BTCUSD_PERP,binance,2022/2/17 22:30,8128896,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:29,8128856,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:29,74636.369,,minutes
BTCUSDT,binance,2022/2/17 22:28,74619.552,,minutes
BTCUSD_PERP,binance,2022/2/17 22:28,8128331,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:27,8130999,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:27,74576.131,,minutes
BTCUSDT,binance,2022/2/17 22:26,74536.598,,minutes
BTCUSD_PERP,binance,2022/2/17 22:26,8130368,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:25,8130993,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:25,74539.679,,minutes
BTCUSDT,binance,2022/2/17 22:24,74515.812,,minutes
BTCUSD_PERP,binance,2022/2/17 22:24,8134999,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:23,8142272,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:23,74627.484,,minutes
BTCUSDT,binance,2022/2/17 22:22,74292.691,,minutes
BTCUSD_PERP,binance,2022/2/17 22:22,8133849,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:21,74335.76,,minutes
BTCUSD_PERP,binance,2022/2/17 22:21,8133796,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:20,74342.075,,minutes
BTCUSD_PERP,binance,2022/2/17 22:20,8134447,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:19,8136116,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:19,74361.635,,minutes
BTCUSDT,binance,2022/2/17 22:18,74332.236,,minutes
BTCUSD_PERP,binance,2022/2/17 22:18,8136658,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:17,74276.818,,minutes
BTCUSD_PERP,binance,2022/2/17 22:17,8136440,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:16,8137760,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:16,74344.806,,minutes
BTCUSDT,binance,2022/2/17 22:15,74392.278,,minutes
BTCUSD_PERP,binance,2022/2/17 22:15,8141744,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:14,74395.061,,minutes
BTCUSD_PERP,binance,2022/2/17 22:14,8146396,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:13,8149056,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:13,74406.701,,minutes
BTCUSDT,binance,2022/2/17 22:12,74430.426,,minutes
